epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1427.68,0.72647,0.33645,0.89614,0.99707,1,0.99484,0.89826,0.53762,0.25545,0.85247,0.0095842,0.0095842,0.0095842
44,1461.64,0.72817,0.3402,0.90164,0.98995,0.99896,0.99464,0.88452,0.54538,0.2601,0.8511,0.0095743,0.0095743,0.0095743
45,1495.32,0.73123,0.34032,0.90095,0.99703,0.99953,0.99467,0.86512,0.62693,0.27628,0.86296,0.0095644,0.0095644,0.0095644
46,1528.19,0.74315,0.33528,0.90558,0.99851,1,0.99471,0.89023,0.53598,0.2597,0.84814,0.0095545,0.0095545,0.0095545
47,1562.03,0.71627,0.33852,0.89463,0.99723,0.99964,0.99478,0.88709,0.57596,0.26685,0.85522,0.0095446,0.0095446,0.0095446
48,1594.93,0.71643,0.33394,0.89622,0.99669,1,0.99447,0.87243,0.59459,0.25553,0.8527,0.0095347,0.0095347,0.0095347
49,1628.01,0.72392,0.33362,0.89616,0.99753,0.99975,0.99456,0.8943,0.53018,0.25441,0.84906,0.0095248,0.0095248,0.0095248
50,1661.59,0.72194,0.33075,0.89668,0.9974,0.99969,0.99485,0.88894,0.54132,0.2576,0.84766,0.0095149,0.0095149,0.0095149
51,1694.37,0.71391,0.33656,0.89437,0.99784,0.99951,0.99465,0.89171,0.5447,0.25193,0.85058,0.009505,0.009505,0.009505
52,1728.32,0.71602,0.33017,0.89689,0.99776,1,0.99466,0.88592,0.53433,0.25071,0.84741,0.0094951,0.0094951,0.0094951
53,1762.8,0.71022,0.33227,0.89705,0.99844,1,0.99459,0.88464,0.5572,0.26067,0.85198,0.0094852,0.0094852,0.0094852
